identifier,latitude_start,longitude_start,routeName,latitude_end,longitude_end,,Lat_Difference,Lon_Difference,Sum
3034,49.23286455,-123.1853758,Dunbar,49.23227995,-123.1853915,Dunbar,584.6001406,15.72419299,600.3243336
4794,49.23054561,-123.1233533,Heather,49.22996105,-123.123369,Heather,584.5557503,15.767319,600.3230693
5190,49.24334666,-123.0840048,Windsor,49.24393125,-123.083989,Windsor,584.5938516,15.720655,600.3145066
1265,49.24350358,-123.1454896,Cypress,49.24291898,-123.1455052,Cypress,584.6023259,15.623764,600.2260899
1266,49.24291898,-123.1455052,Cypress,49.24233439,-123.1455208,Cypress,584.5933919,15.623436,600.2168279
712,49.27667456,-123.1022294,Quebec St,49.27609009,-123.1022138,Quebec St,584.4663112,15.687407,600.1537182
2753,49.20663929,-123.1173123,Cambie,49.20606839,-123.1173415,Cambie,570.8981177,29.18332601,600.0814437
5231,49.23521294,-123.0847708,Windsor,49.23579755,-123.0847554,Windsor,584.6035885,15.459127,600.0627155
1264,49.24408818,-123.1454741,Cypress,49.24350358,-123.1454896,Cypress,584.6020466,15.451004,600.0530506
1262,49.24525739,-123.1454433,Cypress,49.24467278,-123.1454587,Cypress,584.6019001,15.432468,600.0343681
1263,49.24467278,-123.1454587,Cypress,49.24408818,-123.1454741,Cypress,584.6019596,15.43074499,600.0327046
3035,49.23227995,-123.1853915,Dunbar,49.23169535,-123.1854069,Dunbar,584.5995823,15.337869,599.9374513
784,49.28704924,-123.0335542,Portside,49.28763384,-123.0335695,Portside,584.6004371,15.314124,599.9145611
5194,49.24568507,-123.0839431,Windsor,49.24626967,-123.0839278,Windsor,584.6022809,15.28102801,599.8833089
3036,49.23169535,-123.1854069,Dunbar,49.23111074,-123.1854221,Dunbar,584.6085173,15.261947,599.8704643
4614,49.25407084,-123.0495496,Sunrise,49.25348624,-123.0495645,Sunrise,584.605721,14.92112101,599.526842
5192,49.24451585,-123.0839725,Windsor,49.24510046,-123.0839576,Windsor,584.611112,14.88599899,599.497111
5195,49.24626967,-123.0839278,Windsor,49.24685428,-123.0839129,Windsor,584.6109254,14.882906,599.4938314
2125,49.26930705,-123.1006911,Main St,49.26872253,-123.100706,Main St,584.5208745,14.86446,599.3853345
4664,49.2352639,-123.0488311,Sunrise,49.23467935,-123.0488164,Sunrise,584.5500565,14.66995499,599.2200115
3460,49.27669499,-123.1405929,Seaside,49.27628372,-123.140405,Seaside,411.2743872,187.885289,599.1596762
5193,49.24510046,-123.0839576,Windsor,49.24568507,-123.0839431,Windsor,584.6107863,14.522242,599.1330283
5043,49.24515302,-123.1679179,Ridgeway,49.24573761,-123.1679034,Ridgeway,584.5855053,14.436566,599.0220713
5230,49.23463031,-123.0847545,Windsor,49.23521294,-123.0847708,Windsor,582.6373292,16.35727499,598.9946042
2158,49.25006551,-123.1010074,Main St,49.24948089,-123.1010216,Main St,584.621253,14.21477501,598.836028
1515,49.28067219,-123.0740916,Mosaic,49.28008759,-123.0741058,Mosaic,584.6057744,14.22084,598.8266144
4945,49.28793984,-123.0283601,Cassiar,49.28850864,-123.02839,Cassiar,568.8019277,29.944321,598.7462487
5225,49.23190096,-123.0851076,Windsor,49.23248558,-123.0850936,Windsor,584.6208716,13.978897,598.5997686
5224,49.23131635,-123.0851216,Windsor,49.23190096,-123.0851076,Windsor,584.6119383,13.979964,598.5919023
5618,49.26802668,-123.1456455,,49.26744208,-123.1456316,,584.6075677,13.935224,598.5427917
425,49.22337834,-123.0975736,Prince Edward,49.22279371,-123.0975875,Prince Edward,584.6232779,13.90752,598.5307979
426,49.22279371,-123.0975875,Prince Edward,49.22220909,-123.0976014,Prince Edward,584.6233389,13.907203,598.5305419
5228,49.23346109,-123.0847809,Windsor,49.23404572,-123.0847672,Windsor,584.6295096,13.76336999,598.3928796
4828,49.23817896,-123.1160173,Cambie,49.23759455,-123.1160312,Cambie,584.4082123,13.962113,598.3703253
2983,49.25803775,-123.1200599,Heather,49.25745314,-123.1200735,Heather,584.6131614,13.55625901,598.1694204
2982,49.25862238,-123.1200465,Heather,49.25803775,-123.1200599,Heather,584.6219945,13.458967,598.0809615
2780,49.22927538,-123.175868,Balaclava,49.22869076,-123.1758815,Balaclava,584.6226894,13.44951299,598.0722024
1706,49.24387499,-123.0455426,BC Parkway,49.24370112,-123.0451185,BC Parkway,173.8733819,424.153818,598.0271999
285,49.20752352,-123.0422403,Kerr St,49.2069389,-123.0422536,Kerr St,584.6269231,13.35719401,597.9841171
1538,49.2755496,-123.074435,Mosaic,49.27496498,-123.0744484,Mosaic,584.6237691,13.35199001,597.9757591
5227,49.23287647,-123.084794,Windsor,49.23346109,-123.0847809,Windsor,584.6200642,13.06665101,597.6867152
4598,49.26342569,-123.0495565,Sunrise,49.26284107,-123.0495695,Sunrise,584.6219573,13.049023,597.6709803
2159,49.24948089,-123.1010216,Main St,49.24889627,-123.1010346,Main St,584.6202302,12.97505599,597.5952862
1484,49.26452294,-123.0735894,Mosaic,49.26393831,-123.0736023,Mosaic,584.6334954,12.89456601,597.5280614
308,49.30519335,-123.1452734,Stanley Pk Causeway,49.30460884,-123.1452603,Stanley Pk Causeway,584.5060404,13.02032001,597.5263604
1521,49.27280428,-123.0734293,Mosaic,49.27221967,-123.0734422,Mosaic,584.6146373,12.88341299,597.4980503
5219,49.26028458,-123.0833469,Windsor,49.2608692,-123.083334,Windsor,584.6259167,12.80742799,597.4333447
4615,49.25348624,-123.0495645,Sunrise,49.2529016,-123.0495772,Sunrise,584.6318243,12.72208399,597.3539083
1485,49.26393831,-123.0736023,Mosaic,49.26335369,-123.073615,Mosaic,584.6244096,12.656501,597.2809106
5229,49.23404572,-123.0847672,Windsor,49.23463031,-123.0847545,Windsor,584.5836734,12.674454,597.2581274
5218,49.25969995,-123.0833594,Windsor,49.26028458,-123.0833469,Windsor,584.6258197,12.588613,597.2144327
5180,49.2634772,-123.081346,Windsor,49.26289256,-123.0813585,Windsor,584.6342424,12.55252501,597.1867674
970,49.23647153,-123.1968874,Midtown,49.2358869,-123.196875,Midtown,584.6254221,12.40249401,597.0279161
1460,49.2643803,-123.0619871,Lakewood,49.26496494,-123.0619747,Lakewood,584.6318637,12.39138599,597.0232497
2984,49.25745314,-123.1200735,Heather,49.25686852,-123.1200859,Heather,584.6210176,12.401541,597.0225586
5449,49.27760921,-123.0742056,Mosaic,49.27702458,-123.074218,Mosaic,584.6319091,12.38870799,597.0206171
5220,49.2608692,-123.083334,Windsor,49.26145384,-123.0833217,Windsor,584.634544,12.381643,597.016187
1472,49.27139599,-123.0618513,Lakewood,49.27198062,-123.061839,Lakewood,584.631131,12.383673,597.014804
5215,49.25794605,-123.0833963,Windsor,49.25853068,-123.0833839,Windsor,584.6348441,12.376097,597.0109411
5179,49.26406182,-123.0813336,Windsor,49.2634772,-123.081346,Windsor,584.6250588,12.37139699,596.9964558
5182,49.26230792,-123.0813694,Windsor,49.26172328,-123.0813818,Windsor,584.6342213,12.34993,596.9841513
5214,49.25736141,-123.0834086,Windsor,49.25794605,-123.0833963,Windsor,584.6348542,12.305724,596.9405782
