,UNIQUE_ID,ROUTE_NAM,STREET_NAM,TPL_TYPE,STATUS,LENGTH,YEAR_CONST,DIRECTION,STREET_TYP,POINT_X,POINT_Y,newLong,newLat
4736,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496406.90202556923,5457911.348477906,-123.04939608551601,49.27394951177051
4737,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496406.13355619647,5457846.35302294,-123.04940606613853,49.2733648611362
4738,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496405.5276388014,5457781.355881458,-123.04941381188684,49.27278019622678
4739,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496404.8570642518,5457716.359362235,-123.0494224463046,49.27219553647459
4740,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496404.0894396296,5457651.36389968,-123.04943241466444,49.271610885596495
4741,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496403.39028673805,5457586.36766753,-123.04944144152827,49.271026228138275
4742,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496402.6862669233,5457521.371482655,-123.04945053508756,49.270441571016576
4743,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496401.98271912243,5457456.375290459,-123.04945962194851,49.26985691377167
4744,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496401.2926468514,5457391.378958575,-123.04946852336145,49.26927225528944
4745,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496400.62827221677,5457326.382354312,-123.04947707132638,49.26868759444826
4746,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496399.92601352464,5457261.386682507,-123.04948613985182,49.26810294171168
4747,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496399.26169351116,5457196.390099032,-123.04949468666622,49.26751828093771
4748,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496398.46201337874,5457131.395025132,-123.04950509389494,49.26693363288546
4749,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496397.7229416622,5457066.3992290385,-123.04951466779096,49.26634897863363
4750,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496396.9741850961,5457001.403543044,-123.0495243745872,49.2657643252549
4751,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496396.75747951306,5456936.4043125715,-123.0495267680599,49.26517964306766
4752,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496395.9911195375,5456871.408837087,-123.04953671645285,49.26459499135894
4753,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496395.20961271785,5456806.413540622,-123.04954687280669,49.264010341110996
4754,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496394.46929892246,5456741.417757319,-123.04955646274122,49.26342568666642
4755,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496393.47726302035,5456676.426001888,-123.04956951226002,49.26284106690888
4756,452,Sunrise,Slocan,Local Street,Active,2979,1998,NS,Residential,496393.00531064905,5456611.427727019,-123.04957541326502,49.26225639151417
